Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured
Yes,"Fire at Samerahawa, Rohini Rural Municipality-4",,nepal_police,Fire,2023-01-01,Lumbini,Rupandehi,Rohini,4,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Laphadi, Barhadashi Rural Municipality-7",,nepal_police,Fire,2023-01-01,Koshi,Jhapa,Barhadashi,7,74000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Animal Incidents at Shivasataxi Municipality-11,,nepal_police,Animal Incidents,2023-01-01,Koshi,Jhapa,Shivasataxi,11,,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Yes,"Fire at Maidel, Thulung Dudhkoshi Rural Municipality-6",,nepal_police,Fire,2023-01-01,Koshi,Solukhumbu,Thulung Dudhkoshi,6,300000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Gokarneshwor Municipality-7,,nepal_police,Fire,2023-01-01,Bagmati,Kathmandu,Gokarneshwor,7,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Machhapuchchhre Rural Municipality-2,,nepal_police,Fire,2023-01-01,Gandaki,Kaski,Machhapuchchhre,2,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at Jhali Tol, Rajbiraj Municipality-11",,nepal_police,Fire,2023-01-01,Madhesh,Saptari,Rajbiraj,11,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Dhanusadham Municipality-3,,nepal_police,Fire,2023-01-01,Madhesh,Dhanusa,Dhanusadham,3,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at marewa, Karjanha Municipality-7",,nepal_police,Fire,2023-01-01,Madhesh,Siraha,Karjanha,7,300000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Khajura Rural Municipality-2,,nepal_police,Fire,2023-01-01,Lumbini,Banke,Khajura,2,283400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,"Fire at bajbot, Tribeni Rural Municipality-6",,nepal_police,Fire,2022-12-31,Lumbini,Rolpa,Tribeni,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,Fire at Uralabari Municipality-7,,nepal_police,Fire,2022-12-31,Koshi,Morang,Uralabari,7,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
