date,latitude,longitude,Hazard,label,date_str
2022-11-06,27.035690000000045,87.48387000000008,Landslide,1,2022-11-06
2022-11-04,27.95366000000007,86.20476000000008,Landslide,1,2022-11-04
2022-10-12,29.33594000000005,81.43072000000006,Landslide,1,2022-10-12
2022-10-12,29.04137000000003,81.85773000000006,Landslide,1,2022-10-12
2022-10-12,27.630790000000047,83.86238000000003,Landslide,1,2022-10-12
2022-10-12,29.538280000000043,81.61780000000005,Landslide,1,2022-10-12
2022-10-11,29.56923000000006,81.48293000000007,Landslide,1,2022-10-11
2022-10-11,29.146120000000053,81.85448000000008,Landslide,1,2022-10-11
2022-10-11,28.373320000000035,83.53203000000008,Landslide,1,2022-10-11
2022-10-11,29.71252000000004,81.61904000000004,Landslide,1,2022-10-11
2022-10-11,29.360340000000065,81.32408000000004,Landslide,1,2022-10-11
2022-10-11,28.16829000000007,82.08431000000007,Landslide,1,2022-10-11
2022-10-11,28.834110000000067,81.61001000000005,Landslide,1,2022-10-11
2022-10-10,28.945840000000032,81.63676000000004,Landslide,1,2022-10-10
2022-10-10,29.533970000000068,82.15771000000007,Landslide,1,2022-10-10
2022-10-10,27.965960000000052,83.15486000000004,Landslide,1,2022-10-10
2022-10-10,28.373320000000035,83.53203000000008,Landslide,1,2022-10-10
2022-10-10,28.844340000000045,81.71011000000004,Landslide,1,2022-10-10
2022-10-10,29.427170000000046,81.75914000000006,Landslide,1,2022-10-10
2022-10-10,29.60326000000003,80.70177000000007,Landslide,1,2022-10-10
2022-10-10,29.146120000000053,81.85448000000008,Landslide,1,2022-10-10
2022-10-10,28.52027000000004,80.96565000000004,Flood,1,2022-10-10
2022-10-10,26.75279000000006,87.15755000000007,Flood,1,2022-10-10
2022-10-09,29.33922000000007,81.84204000000005,Flood,1,2022-10-09
2022-10-09,29.146120000000053,81.85448000000008,Landslide,1,2022-10-09
2022-10-09,29.146120000000053,81.85448000000008,Landslide,1,2022-10-09
2022-10-09,28.13282000000004,82.69597000000005,Landslide,1,2022-10-09
2022-10-09,29.146120000000053,81.85448000000008,Flood,1,2022-10-09
2022-10-09,29.26276000000007,81.58511000000004,Landslide,1,2022-10-09
2022-10-09,29.158830000000023,81.66961000000003,Landslide,1,2022-10-09
2022-10-09,29.146120000000053,81.85448000000008,Flood,1,2022-10-09
2022-10-09,29.260510000000068,81.72308000000004,Landslide,1,2022-10-09
2022-10-09,29.146120000000053,81.85448000000008,Landslide,1,2022-10-09
2022-10-09,29.146120000000053,81.85448000000008,Landslide,1,2022-10-09
2022-10-09,29.855810000000076,82.23629000000005,Landslide,1,2022-10-09
2022-10-09,29.51347000000004,80.93567000000007,Landslide,1,2022-10-09
2022-10-09,29.146120000000053,81.85448000000008,Landslide,1,2022-10-09
2022-10-09,29.705350000000067,81.75130000000007,Landslide,1,2022-10-09
2022-10-09,29.260510000000068,81.72308000000004,Landslide,1,2022-10-09
2022-10-08,29.146120000000053,81.85448000000008,Landslide,1,2022-10-08
2022-10-08,29.26973000000004,81.92985000000004,Flood,1,2022-10-08
2022-10-08,28.389170000000036,82.14556000000005,Landslide,1,2022-10-08
2022-10-08,29.41384000000005,82.05030000000005,Landslide,1,2022-10-08
2022-10-08,28.047340000000077,82.77364000000006,Landslide,1,2022-10-08
2022-10-08,28.37636000000003,83.02216000000004,Landslide,1,2022-10-08
2022-10-07,28.402390000000025,82.50796000000008,Landslide,1,2022-10-07
2022-10-07,28.688570000000027,81.93365000000006,Landslide,1,2022-10-07
2022-10-07,28.24885000000006,82.36148000000009,Landslide,1,2022-10-07
2022-10-07,28.596690000000024,81.61658000000006,Landslide,1,2022-10-07
2022-10-07,28.26792000000006,83.25370000000004,Landslide,1,2022-10-07
2022-10-07,28.253160000000037,82.91058000000004,Landslide,1,2022-10-07
2022-10-07,28.56905000000006,82.42802000000006,Landslide,1,2022-10-07
2022-10-07,27.884160000000065,83.25291000000004,Landslide,1,2022-10-07
2022-10-07,28.047340000000077,82.77364000000006,Flood,1,2022-10-07
2022-10-07,27.99384000000003,82.67143000000004,Landslide,1,2022-10-07
2022-10-07,27.76465000000007,83.47024000000005,Landslide,1,2022-10-07
2022-10-07,28.007160000000056,84.15608000000003,Landslide,1,2022-10-07
2022-10-07,27.945050000000037,82.83908000000008,Landslide,1,2022-10-07
2022-10-07,28.84600000000006,82.52065000000005,Landslide,1,2022-10-07
2022-10-07,28.96303000000006,82.25361000000004,Landslide,1,2022-10-07
2022-10-07,27.785150000000044,83.90900000000005,Flood,1,2022-10-07
2022-10-07,27.965960000000052,83.15486000000004,Landslide,1,2022-10-07
2022-10-07,27.686960000000056,85.23522000000008,Landslide,1,2022-10-07
2022-10-06,28.37636000000003,83.02216000000004,Landslide,1,2022-10-06
2022-10-06,28.402390000000025,82.50796000000008,Landslide,1,2022-10-06
2022-10-06,27.73944000000006,85.07190000000008,Flood,1,2022-10-06
2022-10-06,27.990350000000035,82.91276000000005,Flood,1,2022-10-06
2022-10-06,27.59758000000005,84.85797000000008,Landslide,1,2022-10-06
2022-10-06,28.54200000000003,84.87538000000006,Landslide,1,2022-10-06
2022-10-06,28.06702000000007,83.07274000000007,Landslide,1,2022-10-06
2022-10-06,27.990350000000035,82.91276000000005,Landslide,1,2022-10-06
2022-10-06,28.691980000000058,82.28000000000003,Landslide,1,2022-10-06
2022-10-06,27.722830000000044,85.17161000000004,Landslide,1,2022-10-06
2022-10-06,27.722830000000044,85.17161000000004,Landslide,1,2022-10-06
2022-10-06,28.37636000000003,83.02216000000004,Flood,1,2022-10-06
2022-10-06,28.083330000000046,85.42667000000006,Landslide,1,2022-10-06
2022-10-06,28.35770000000008,82.30807000000004,Landslide,1,2022-10-06
2022-10-06,27.965960000000052,83.15486000000004,Flood,1,2022-10-06
2022-10-05,27.428390000000036,85.03219000000007,Flood,1,2022-10-05
2022-10-05,28.545930000000055,83.92078000000004,Landslide,1,2022-10-05
2022-10-05,28.253160000000037,82.91058000000004,Landslide,1,2022-10-05
2022-10-05,28.0999165,82.8828583,Landslide,1,2022-10-05
2022-10-05,28.47168000000005,82.32016000000004,Landslide,1,2022-10-05
2022-10-05,27.93172000000004,85.90808000000004,Landslide,1,2022-10-05
2022-09-29,26.75279000000006,87.15755000000007,Landslide,1,2022-09-29
2022-09-26,28.844340000000045,81.71011000000004,Landslide,1,2022-09-26
2022-09-26,27.325140000000033,87.73428000000007,Landslide,1,2022-09-26
2022-09-25,29.59137000000004,80.52900000000005,Landslide,1,2022-09-25
2022-09-25,28.535030000000063,83.51666000000006,Landslide,1,2022-09-25
2022-09-25,28.873680000000036,80.44668000000007,Flood,1,2022-09-25
2022-09-24,27.70028000000008,84.06548000000004,Landslide,1,2022-09-24
2022-09-24,26.75279000000006,87.15755000000007,Landslide,1,2022-09-24
2022-09-23,27.73165000000006,85.41696000000007,Landslide,1,2022-09-23
2022-09-23,28.535030000000063,83.51666000000006,Landslide,1,2022-09-23
2022-09-21,28.218920000000026,84.35283000000004,Landslide,1,2022-09-21
2022-09-20,28.293540000000064,82.48467000000005,Landslide,1,2022-09-20
2022-09-19,27.616640000000075,85.26694000000003,Landslide,1,2022-09-19
2022-09-18,28.65372000000008,81.45104000000003,Landslide,1,2022-09-18
2022-09-18,29.855810000000076,82.23629000000005,Landslide,1,2022-09-18
2022-09-18,28.535030000000063,83.51666000000006,Landslide,1,2022-09-18
2022-09-17,28.789630000000045,81.40383000000008,Landslide,1,2022-09-17
2022-09-17,28.85994000000005,81.27875000000006,Landslide,1,2022-09-17
2022-09-17,28.976180000000056,81.22569000000004,Landslide,1,2022-09-17
